City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
267,Kismayo,SO,77.7,scattered clouds,-0.3582,42.5454,Agan-Hotel
268,Pedro Carbo,EC,78.28,light rain,-1.8333,-80.2333,Centro turístico y hostería oasis pedro carbo
269,Faanui,PF,80.28,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
273,Kavaratti,IN,81.34,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
280,Saint-Pierre,RE,78.48,clear sky,-21.3393,55.4781,Lindsey Hôtel
284,Matara,LK,75.85,few clouds,5.9485,80.5353,Amaloh Boutique Resort
295,Bowen,AU,77.22,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
300,Willemstad,CW,84.11,scattered clouds,12.1084,-68.9335,Avila Beach Hotel
302,Lamu,KE,79.02,overcast clouds,-2.2717,40.902,Lamu House
304,Banda Aceh,ID,76.37,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
309,Quatre Cocos,MU,80.71,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
316,San Pedro,PH,79.11,broken clouds,14.35,121.0167,Palines Apartment and Guesthouse
319,Carnarvon,AU,78.87,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
323,Saint-Georges,GD,82.08,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
324,Rosa Zarate,EC,80.33,light rain,0.3333,-79.4667,Piscinas y Recepciones Hecalash
331,Tete,MZ,78.89,scattered clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
332,Nhulunbuy,AU,81.21,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
333,Ughelli,NG,76.57,overcast clouds,5.4899,6.0074,Prestige Hotel
337,Cap Malheureux,MU,81.09,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
342,Teshie,GH,82.96,haze,5.5836,-0.1072,Best Western Plus Accra Beach Hotel
346,Fomboni,KM,82.42,clear sky,-12.28,43.7425,Auberge les abou
348,Hobyo,SO,76.87,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
350,Neuquen,AR,80.49,clear sky,-38.9516,-68.0591,Hotel del Comahue
361,Acapulco,MX,84.02,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
365,Cabedelo,BR,86.67,broken clouds,-6.9811,-34.8339,Hotel Pigalle
368,Boffa,GN,79.5,scattered clouds,10.1667,-14.0333,Hôtel Niara Belly
378,Kigorobya,UG,77.63,overcast clouds,1.6162,31.3089,Palace guest house kigorobya
389,Dolores,AR,84.47,broken clouds,-36.3132,-57.6792,Apart Hotel - Arianos
390,Vao,NC,78.98,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
391,Porlamar,VE,80.69,scattered clouds,10.958,-63.8491,Hotel Bella Vista
401,Diego De Almagro,CL,78.15,clear sky,-26.3667,-70.05,hotel luna del desierto
402,Rio Tuba,PH,80.22,clear sky,8.5061,117.4317,Jjas Pension House
403,Souillac,MU,80.98,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
406,Mackay,AU,78.78,scattered clouds,-21.15,149.2,International Lodge Motel
407,Upata,VE,88.77,overcast clouds,8.0086,-62.3989,Posada Villa Nela
410,Waingapu,ID,79.12,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
411,Kimbe,PG,75.85,light rain,-5.5502,150.1429,Kimbe Bay Hotel
416,Auki,SB,77.86,moderate rain,-8.7676,160.7034,Auki Motel
418,Alugan,PH,77.94,few clouds,12.2188,125.4808,JM Lodge
421,Grand Gaube,MU,81.0,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
423,Pandan,PH,76.64,few clouds,14.0453,124.1694,Bonifacio Lodge
431,Jeremie,HT,77.05,broken clouds,18.65,-74.1167,Auberge’Inn
435,Lodwar,KE,85.78,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
443,Kloulklubed,PW,82.24,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
444,Iquitos,PE,87.84,clear sky,-3.7481,-73.2472,Cortez Malaga Techy Caroly
447,San Vicente,AR,84.43,scattered clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
455,Axim,GH,79.9,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
462,Saint-Joseph,RE,77.38,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
465,Yenagoa,NG,76.8,broken clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
470,Conde,BR,85.46,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
483,Jardim,BR,85.6,broken clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
486,Vilhena,BR,75.42,broken clouds,-12.7406,-60.1458,Hotel Mirage
487,Olinda,BR,83.93,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
492,Lima,PE,75.9,light rain,-12.0432,-77.0282,Hotel Kamana
493,Karratha,AU,82.08,broken clouds,-20.7377,116.8463,ibis Styles Karratha
494,Bairiki,KI,81.82,light rain,1.3292,172.9752,Tarawa Boutique Hotel
498,Paranaiba,BR,75.0,overcast clouds,-19.6772,-51.1908,Villa Rica Park Hotel GMR
502,Manokwari,ID,77.18,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
505,Caravelas,BR,82.99,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
508,Cayenne,GF,78.84,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
512,Cockburn Town,TC,75.16,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
515,Honiara,SB,78.39,moderate rain,-9.4333,159.95,Heritage Park Hotel
517,Afua,BR,77.79,heavy intensity rain,-0.1567,-50.3867,Hotel Dias
520,Barreirinha,BR,78.66,overcast clouds,-2.7933,-57.07,Hotel e Restaurante Tupana Iwato
522,Tautira,PF,80.62,overcast clouds,-17.7333,-149.15,Pension Oaoa
524,Les Cayes,HT,83.84,scattered clouds,18.2,-73.75,Villa Orphee
526,Vanimo,PG,76.33,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
527,Bonthe,SL,79.54,clear sky,7.5264,-12.505,Bonthe Holiday Village
532,Vredendal,ZA,79.29,overcast clouds,-31.6683,18.5012,Tharrakamma Guest House
533,Mumford,GH,79.09,overcast clouds,5.2618,-0.759,Spanish Villa
536,George Town,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
538,Ixtapa,MX,88.07,few clouds,20.7,-105.2,hotel la terminal
544,La Palma,US,76.03,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
547,Mulchen,CL,78.66,clear sky,-37.7167,-72.2333,Hotel Los Maitenes de Villalón
548,Mogadishu,SO,77.31,overcast clouds,2.0371,45.3438,Hotel Juba
549,Touros,BR,86.9,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
550,Bogo,PH,76.95,few clouds,11.0517,124.0055,Acrige Apartelle 2 pax Twin @ heart of Bogo City
552,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
562,Ransang,PH,77.94,clear sky,8.9603,117.5828,Black and Crystal Sand Campsite
563,Acarau,BR,75.51,light rain,-2.8856,-40.12,castelo pizzaria
566,Corrente,BR,76.93,overcast clouds,-3.7367,-43.3394,Chapadinhense Hotel
568,Omboue,GA,78.91,overcast clouds,-1.5746,9.2618,Hotel Olako
569,Pimentel,PE,79.09,clear sky,-6.8367,-79.9342,Casona Del Muelle
575,Natal,BR,86.65,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
593,Sibolga,ID,76.41,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
598,Conceicao Do Araguaia,BR,80.46,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
599,Howard Springs,AU,84.11,overcast clouds,-12.497,131.047,buffalo beach hostel
602,Pouebo,NC,77.68,overcast clouds,-20.4,164.5667,RIVÂT LODGE
603,Harper,LR,80.2,broken clouds,4.375,-7.7169,Screensaver
606,Broken Hill,AU,78.51,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
608,Bibiani,GH,77.07,broken clouds,6.4635,-2.3194,Rodick Hotel
619,Gladstone,AU,75.13,few clouds,-23.85,151.25,Highpoint International Hotel
621,Dangriga,BZ,76.98,clear sky,16.9692,-88.2321,Chaleanor Hotel
622,Morondava,MG,82.6,scattered clouds,-20.2833,44.2833,La Case Bambou
624,Kudat,MY,77.29,few clouds,6.8837,116.8477,Dream Garden Hotel
626,Ambulu,ID,76.32,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
634,Sambava,MG,78.21,broken clouds,-14.2667,50.1667,Melrose
637,Samarai,PG,80.67,overcast clouds,-10.6167,150.6667,Nuli Sapi
641,Terenos,BR,82.11,light rain,-20.4422,-54.8603,Rancho Pitzer
645,Palmeira Das Missoes,BR,84.42,scattered clouds,-27.8994,-53.3136,Hotel De Carli
654,Port Hedland,AU,82.45,broken clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
659,Pontianak,ID,75.18,mist,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
661,Impfondo,CG,77.47,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
662,Inhambane,MZ,78.78,few clouds,-23.865,35.3833,Oceano
672,Vaitape,PF,80.28,scattered clouds,-16.5167,-151.75,Conrad Bora Bora Nui
682,Gunjur,GM,78.87,overcast clouds,13.2019,-16.7339,Dalaba Eco-Lodge Gambia
683,Miri,MY,75.34,light rain,4.4148,114.0089,"Mega Hotel, Miri"
685,Road Town,VG,82.44,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
686,Barra Do Garcas,BR,75.78,moderate rain,-15.89,-52.2567,Pousada Tropical
689,Salinopolis,BR,77.32,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
690,Eydhafushi,MV,81.28,scattered clouds,5.1033,73.0708,Soneva Fushi
691,Lakatoro,VU,78.4,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
692,Muana,BR,77.94,overcast clouds,-1.5283,-49.2167,Pousada Bella do Marajó
