City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
294,Codrington,AU,-38.2667,141.9667,64.18,93,71,5.99,broken clouds
295,Bowen,AU,-20.0167,148.2333,77.22,89,48,7.18,scattered clouds
296,Bilma,NE,18.6853,12.9164,61.75,15,0,15.3,clear sky
297,Surt,LY,31.2089,16.5887,56.34,59,6,14.45,clear sky
298,Vardo,NO,70.3705,31.1107,28.38,80,75,5.75,broken clouds
299,Vostok,RU,46.4856,135.8833,-21.96,99,56,3.47,broken clouds
300,Willemstad,CW,12.1084,-68.9335,84.11,65,40,8.05,scattered clouds
301,Constitucion,CL,-35.3333,-72.4167,69.12,65,9,19.82,clear sky
302,Lamu,KE,-2.2717,40.902,79.02,82,94,12.73,overcast clouds
303,Naze,JP,28.3667,129.4833,52.54,67,100,20.62,overcast clouds
304,Banda Aceh,ID,5.5577,95.3222,76.37,83,78,7.72,broken clouds
305,Ukiah,US,39.1502,-123.2078,63.03,50,0,0.0,clear sky
306,Otjimbingwe,NA,-22.35,16.1333,72.63,75,100,7.67,light rain
307,Yulara,AU,-25.2406,130.9889,73.24,100,100,10.36,light rain
308,Santa Cruz,BO,-17.8,-63.1667,96.26,31,40,9.22,scattered clouds
309,Quatre Cocos,MU,-20.2078,57.7625,80.71,83,100,17.09,light rain
310,Shitanjing,CN,39.2342,106.3439,11.14,34,0,4.32,clear sky
311,Aswan,EG,24.0934,32.907,58.3,33,0,4.61,clear sky
312,Komsomolets,KZ,53.7453,62.0708,4.12,97,33,6.46,scattered clouds
313,Mackenzie,CA,55.2999,-123.1698,34.02,86,100,12.66,overcast clouds
314,Rawson,AR,-43.3002,-65.1023,62.1,41,53,18.03,broken clouds
315,Mangla,PK,31.8931,72.3817,54.05,35,0,2.37,clear sky
316,San Pedro,PH,14.35,121.0167,79.11,84,75,2.3,broken clouds
317,Koster,ZA,-25.863,26.8976,60.8,87,100,4.56,overcast clouds
318,Namie,JP,37.4833,141.0,31.96,75,10,14.58,clear sky
319,Carnarvon,AU,-24.8667,113.6333,78.87,83,88,19.57,overcast clouds
320,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,102.02,10,0,5.59,clear sky
321,Da Lat,VN,11.9465,108.4419,59.14,97,97,1.99,overcast clouds
322,Berbera,SO,10.4396,45.0143,74.8,65,21,8.32,few clouds
323,Saint-Georges,GD,12.0564,-61.7485,82.08,74,75,19.57,broken clouds
324,Rosa Zarate,EC,0.3333,-79.4667,80.33,78,100,4.5,light rain
325,Lebu,CL,-37.6167,-73.65,62.22,62,1,17.65,clear sky
326,Avera,US,33.194,-82.5271,58.75,37,2,17.11,clear sky
327,Bolu,TR,40.6667,31.5833,27.55,94,100,5.08,light snow
328,Thunder Bay,CA,48.4001,-89.3168,18.55,68,75,5.75,broken clouds
329,Iqaluit,CA,63.7506,-68.5145,-11.47,77,75,4.61,broken clouds
330,Mantua,IT,45.1667,10.7833,47.28,85,0,1.99,clear sky
331,Tete,MZ,-16.1564,33.5867,78.89,78,40,5.75,scattered clouds
